geometry,grid_id,x,y,population,elevation,road_density,building_density,urban_class,predicted_traffic_mbps,tower_source
POINT (287909.6858380263 2334363.566691502),5727,287909.6858380263,2334363.566691502,1237.480043690481,369.67295075625174,62.12070155071418,0.045792159716211686,suburban,384.77139098230333,nsga2_macro
POINT (268409.6858380263 2353863.566691502),3207,268409.6858380263,2353863.566691502,805.5606020550268,256.6302454642871,74.67936301978807,0.02980925626920087,urban,242.26406293956796,nsga2_macro
POINT (306659.6858380263 2337363.566691502),9019,306659.6858380263,2337363.566691502,4613.25734440844,268.76774437860604,246.33544664786731,0.17071064556090415,urban,2331.804488813325,nsga2_macro
POINT (284909.6858380263 2327613.566691502),5244,284909.6858380263,2327613.566691502,24.21998976225484,347.4252406680667,36.98340038446585,0.0008962452729424302,rural,3.033891934220808,nsga2_macro
POINT (245909.6858380263 2368113.566691502),1187,245909.6858380263,2368113.566691502,20.000000554089116,272.2778152061643,4.316962035165344,0.0007400872639253988,rural,8.183542271818478,nsga2_macro
POINT (275159.6858380263 2352363.566691502),4003,275159.6858380263,2352363.566691502,20.04035339418433,220.2184046175359,8.621970853482326,0.000741580495034914,rural,8.125125775932672,nsga2_macro
POINT (296159.6858380263 2327613.566691502),7123,296159.6858380263,2327613.566691502,715.1786801192773,348.55547484779726,77.05404829580928,0.02646473089617173,rural,216.47569144173664,nsga2_macro
POINT (324659.6858380263 2323113.566691502),12835,324659.6858380263,2323113.566691502,20.000000682688178,355.80995348390553,33.75620655951161,0.0007400872686841251,rural,8.126337797820149,nsga2_macro
POINT (326909.6858380263 2358363.566691502),13357,326909.6858380263,2358363.566691502,20.06081399554618,306.108085056772,50.796978373863084,0.0007423376265379461,rural,8.199843207847545,nsga2_macro
POINT (278159.6858380263 2326113.566691502),4344,278159.6858380263,2326113.566691502,20.00005985913867,283.1308600337139,30.325134994570085,0.0007400894584709311,rural,8.196393307253002,nsga2_macro
POINT (301409.6858380263 2326863.566691502),8038,301409.6858380263,2326863.566691502,421.8154791257275,296.8767903532645,36.83473030260566,0.015609012758937838,rural,118.46318866189831,nsga2_macro
POINT (300659.6858380263 2315613.566691502),7891,300659.6858380263,2315613.566691502,21.124959059582608,260.8056398303949,26.1556482650404,0.0007817156358901217,rural,3.919669836093571,nsga2_macro
POINT (306659.6858380263 2329863.566691502),9009,306659.6858380263,2329863.566691502,974.5294283692112,279.68713839335345,74.05411834969152,0.036061839913753974,suburban,292.2239639551837,nsga2_macro
